City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,floro,61.5996,5.0328,278.19,87,75,13.89,NO,1705824582
1,longyearbyen,78.2186,15.6401,257.06,72,75,3.6,SJ,1705824583
2,bilibino,68.0546,166.4372,251.89,95,100,1.37,RU,1705824583
3,waitangi,-43.9535,-176.5597,292.49,94,100,1.79,NZ,1705824584
4,albany,42.6001,-73.9662,262.97,74,33,2.24,US,1705824584
5,bethel,41.3712,-73.414,265.38,70,0,2.06,US,1705824526
6,adamstown,-25.066,-130.1015,297.58,85,71,5.55,PN,1705824585
7,copiapo,-27.3667,-70.3333,291.94,72,5,0.38,CL,1705824585
8,afaahiti,-17.75,-149.2833,295.08,86,100,3.89,PF,1705824586
9,aswan,24.0934,32.907,296.71,20,13,2.7,EG,1705824586
10,jamestown,42.097,-79.2353,267.92,86,100,6.17,US,1705824553
11,puerto natales,-51.7236,-72.4875,282.83,83,100,3.25,CL,1705824587
12,edinburgh of the seven seas,-37.0676,-12.3116,289.89,77,13,4.27,SH,1705824587
13,adrar,20.5022,-10.0711,292.32,13,26,4.27,MR,1705824118
14,howard springs,-12.497,131.047,304.81,82,67,6.83,AU,1705824588
15,geraldton,-28.7667,114.6,300.38,61,6,10.29,AU,1705824588
16,pacific grove,36.6177,-121.9166,285.38,92,100,2.06,US,1705824562
17,papao,-17.75,-149.55,295.97,72,100,2.72,PF,1705824589
18,tazacorte,28.629,-17.9293,291.69,70,40,6.17,ES,1705824590
19,port mathurin,-19.6833,63.4167,301.06,78,13,3.54,MU,1705824590
20,enewetak,11.3474,162.3373,299.59,76,100,11.49,MH,1705824591
21,luderitz,-26.6481,15.1594,294.78,72,10,3.72,NA,1705824591
22,georgiyevka,43.0369,74.7114,265.17,62,91,0.0,KZ,1705824592
23,haiku-pauwela,20.9219,-156.3051,297.06,88,40,1.54,US,1705824592
24,angaur state,6.906,134.13,301.33,78,48,9.79,PW,1705824593
25,blackmans bay,-43.0167,147.3167,288.22,88,100,6.94,AU,1705824593
26,olonkinbyen,70.9221,-8.7187,273.71,96,100,6.18,SJ,1705824593
27,conceicao da barra,-18.5933,-39.7322,297.04,98,100,1.15,BR,1705824594
28,mount isa,-20.7333,139.5,305.02,66,40,3.6,AU,1705824594
29,new norfolk,-42.7826,147.0587,288.87,71,100,1.73,AU,1705824595
30,howrah,22.5892,88.3103,293.15,68,75,0.0,IN,1705824595
31,isafjordur,66.0755,-23.124,267.33,88,100,5.35,IS,1705824596
32,bredasdorp,-34.5322,20.0403,299.2,52,15,4.38,ZA,1705824596
33,coahuayana de hidalgo,18.7,-103.6583,296.15,86,100,1.25,MX,1705824596
34,udachny,66.4167,112.4,259.51,84,100,7.04,RU,1705824597
35,paulden,34.8856,-112.4682,282.25,60,100,1.34,US,1705824597
36,susuman,62.7833,148.1667,241.91,100,94,1.45,RU,1705824597
37,gorgan,36.8387,54.4348,286.13,82,100,0.0,IR,1705824598
38,weno,7.4515,151.8468,302.12,70,100,6.17,FM,1705824598
39,port-aux-francais,-49.35,70.2167,280.23,83,75,9.01,TF,1705824547
40,vilyuchinsk,52.9306,158.4028,267.55,77,33,2.75,RU,1705824599
41,nemuro,43.3236,145.575,270.36,64,100,6.83,JP,1705824599
42,muisne,0.6,-80.0333,297.97,93,97,0.26,EC,1705824110
43,magadan,59.5667,150.8,251.22,100,100,3.3,RU,1705824065
44,west island,-12.1568,96.8225,303.14,79,40,4.63,CC,1705824600
45,nanao,37.05,136.9667,283.3,88,100,3.01,JP,1705824600
46,itaituba,-4.2761,-55.9836,296.15,99,87,1.1,BR,1705824601
47,ostersund,63.1792,14.6357,268.4,86,20,10.29,SE,1705824496
48,twon-brass,4.3151,6.2418,301.5,73,27,1.95,NG,1705824601
49,papatowai,-46.5619,169.4708,288.24,82,100,4.89,NZ,1705824602
50,valparaiso,-33.0393,-71.6273,286.95,94,75,5.14,CL,1705824602
51,anadyr,64.75,177.4833,260.43,92,75,2.0,RU,1705824603
52,keningau,5.3378,116.1602,300.52,83,99,1.24,MY,1705824603
53,usogorsk,63.4106,48.6872,248.52,100,100,1.45,RU,1705824043
54,iqaluit,63.7506,-68.5145,262.0,62,100,4.63,CA,1705824604
55,thompson,55.7435,-97.8558,258.24,85,100,1.54,CA,1705824509
56,iskateley,67.6803,53.1512,256.49,97,59,5.36,RU,1705824604
57,grytviken,-54.2811,-36.5092,275.37,90,26,4.37,GS,1705824605
58,tiksi,71.6872,128.8694,242.23,92,100,4.54,RU,1705824605
59,vila velha,-20.3297,-40.2925,298.12,92,75,3.58,BR,1705824605
60,stanley,54.868,-1.6985,279.14,90,20,3.09,GB,1705824606
61,fukuecho,32.6881,128.8419,286.17,69,100,9.64,JP,1705824606
62,porto belo,-27.1578,-48.5531,297.64,94,95,4.75,BR,1705824606
63,kone,-21.0595,164.8658,300.91,78,100,1.77,NC,1705824607
64,port hedland,-20.3167,118.5667,305.18,66,75,6.17,AU,1705824607
65,fort st. john,56.2499,-120.8529,258.16,95,100,2.23,CA,1705824511
66,galle,6.0367,80.217,303.6,64,6,2.42,LK,1705824608
67,coracora,-15.0333,-73.7833,282.89,84,100,3.12,PE,1705824608
68,sao joao da barra,-21.6403,-41.0511,297.17,94,100,3.01,BR,1705824460
69,ushuaia,-54.8,-68.3,283.94,98,100,2.46,AR,1705824438
70,margaret river,-33.95,115.0667,295.54,68,2,6.7,AU,1705824609
71,avarua,-21.2078,-159.775,298.18,73,20,3.09,CK,1705824610
72,new haven,41.4001,-72.9329,264.51,67,0,7.72,US,1705824600
73,notodden,59.5594,9.2585,275.1,98,100,3.96,NO,1705824610
74,ancud,-41.8697,-73.8203,282.83,82,0,1.62,CL,1705824070
75,labytnangi,66.6572,66.4183,255.98,91,100,2.02,RU,1705824612
76,alice springs,-23.7,133.8833,308.9,35,40,4.92,AU,1705824612
77,tateyama,34.9833,139.8667,285.43,84,96,3.71,JP,1705824612
78,fray bentos,-33.1325,-58.2956,289.67,86,1,3.23,UY,1705824613
79,shenjiamen,29.9576,122.298,280.36,78,100,11.39,CN,1705824613
80,visby,57.6409,18.296,275.27,93,100,9.77,SE,1705824613
81,bel ombre,-4.6167,55.4167,301.64,67,82,5.97,SC,1705824614
82,berezovo,63.9381,65.0419,268.64,97,100,0.68,RU,1705824614
83,daru,-9.0763,143.2092,300.86,88,100,1.5,PG,1705824038
84,pinotepa nacional,16.3167,-98.0167,295.15,81,97,0.85,MX,1705824615
85,invercargill,-46.4,168.35,288.21,87,100,3.26,NZ,1705824615
86,guadalupe y calvo,26.1,-106.9667,281.05,33,99,0.26,MX,1705824616
87,knottsville,37.7717,-86.9042,259.25,95,5,0.59,US,1705824616
88,zheleznodorozhnyy,55.7503,38.0042,259.9,93,12,1.79,RU,1705824616
89,jayapura,-2.5333,140.7,300.81,91,100,3.03,ID,1705824617
90,sipalay,9.75,122.5,302.4,64,24,5.48,PH,1705824617
91,staryy oskol,51.2967,37.8417,262.39,95,93,0.89,RU,1705824617
92,san ignacio,17.1561,-89.0714,295.23,94,40,0.0,BZ,1705824618
93,nogliki,51.8333,143.1667,246.12,97,15,1.34,RU,1705824618
94,cidreira,-30.1811,-50.2056,294.81,82,57,5.59,BR,1705824619
95,port alfred,-33.5906,26.891,298.73,64,15,3.64,ZA,1705824619
96,puerto ayora,-0.7393,-90.3518,298.46,97,45,0.89,EC,1705824619
97,lihue,21.9789,-159.3672,296.73,88,100,2.57,US,1705824620
98,petropavlovsk-kamchatsky,53.0452,158.6483,266.73,62,46,2.68,RU,1705824620
99,porbandar,21.6422,69.6093,299.66,27,100,1.37,IN,1705824621
100,beloyarskiy,63.7119,66.6722,267.59,90,100,4.92,RU,1705824102
101,page,36.9147,-111.4558,279.03,84,100,3.13,US,1705824622
102,saint-pierre,-21.3393,55.4781,302.97,79,20,3.6,RE,1705824623
103,hermanus,-34.4187,19.2345,295.67,70,64,2.24,ZA,1705824621
104,qaqortoq,60.7167,-46.0333,255.64,62,0,3.54,GL,1705824611
105,kalmunai,7.4167,81.8167,301.22,71,51,5.33,LK,1705824105
106,wailua homesteads,22.0669,-159.378,296.39,88,100,2.57,US,1705824624
107,flying fish cove,-10.4217,105.6791,302.97,74,75,4.12,CX,1705824625
108,atafu village,-8.5421,-172.5159,302.74,73,55,5.96,TK,1705824625
109,nema,57.5067,50.5011,266.81,96,100,5.01,RU,1705824625
110,kisanga,-7.4362,37.7034,297.47,95,100,1.34,TZ,1705824626
111,linxia chengguanzhen,35.6003,103.2064,266.38,51,100,2.75,CN,1705824626
112,labrador city,52.9463,-66.9114,254.1,84,75,4.63,CA,1705824627
113,santa elena de uairen,4.6167,-61.1333,291.1,97,20,1.97,VE,1705824033
114,bowen,-20.0167,148.2333,303.15,72,19,8.25,AU,1705824612
115,codrington,-38.2667,141.9667,290.28,70,4,6.23,AU,1705824628
116,dalianwan,39.0286,121.695,262.17,62,75,8.0,CN,1705824628
117,richards bay,-28.783,32.0377,299.57,48,0,3.55,ZA,1705824628
118,ust-nera,64.5667,143.2,234.26,99,100,2.89,RU,1705824611
119,wildwood,38.5828,-90.6629,260.88,83,8,1.91,US,1705824629
120,mejit,10.2753,170.8646,299.69,80,67,9.21,MH,1705824630
121,klyuchi,52.2667,79.1667,260.6,83,5,1.63,RU,1705824630
122,hawaiian paradise park,19.5933,-154.9731,294.28,89,0,2.06,US,1705824631
123,kingston,17.997,-76.7936,295.51,90,2,0.45,JM,1705824481
124,tual,-5.6667,132.75,302.05,81,28,7.97,ID,1705824631
125,lompoc,34.6391,-120.4579,286.55,88,100,3.09,US,1705824404
126,chuguyevka,44.1653,133.8633,260.31,97,100,1.64,RU,1705824632
127,punta arenas,-53.15,-70.9167,285.21,76,75,7.72,CL,1705824632
128,sola,-13.8833,167.55,301.74,73,100,2.13,VU,1705824094
129,nuuk,64.1835,-51.7216,253.15,80,34,4.32,GL,1705824633
130,dudinka,69.4058,86.1778,259.64,94,100,8.94,RU,1705824633
131,loandjili,-4.7561,11.8578,300.84,76,41,2.47,CG,1705824634
132,sokoni,-6.4333,39.55,298.92,90,100,6.41,TZ,1705824634
133,metkovic,43.0542,17.6483,278.41,42,0,4.58,HR,1705824634
134,rio grande,-32.035,-52.0986,294.41,63,89,5.49,BR,1705824633
135,necochea,-38.5473,-58.7368,285.41,84,0,4.47,AR,1705824635
136,yaren,-0.5472,166.916,302.61,77,100,6.47,NR,1705824635
137,novomichurinsk,54.0384,39.7479,258.95,92,17,3.18,RU,1705824636
138,sarmiento,-45.5882,-69.07,289.17,41,8,1.41,AR,1705824636
139,cimin,39.7101,39.7021,277.19,93,100,0.0,TR,1705824636
140,kiama,-34.6833,150.8667,303.28,48,0,3.79,AU,1705824637
141,lodwar,3.1191,35.5973,304.44,38,91,2.47,KE,1705824637
142,qarqaraly,49.4058,75.4742,262.92,83,6,1.31,KZ,1705824637
143,constantia,44.1833,28.65,269.53,75,5,4.79,RO,1705824622
144,zuyevka,58.405,51.1335,267.06,96,100,4.37,RU,1705824638
145,vorgashor,67.5833,63.95,254.97,99,100,4.02,RU,1705824638
146,marataizes,-21.0433,-40.8244,297.15,94,100,1.68,BR,1705824639
147,hamilton,39.1834,-84.5333,260.89,79,0,3.58,US,1705824610
148,karbala,32.616,44.0249,291.51,36,62,2.5,IQ,1705824640
149,vakarai,55.6035,23.8213,268.44,91,99,3.68,LT,1705824640
150,curup,-3.4667,102.5333,301.45,56,52,2.53,ID,1705824641
151,forster,-32.1667,152.5167,300.71,72,24,3.77,AU,1705824641
152,chamical,-30.36,-66.314,294.73,47,21,2.89,AR,1705824642
153,east london,-33.0153,27.9116,299.63,59,1,4.05,ZA,1705824642
154,choyr,46.3611,108.3611,248.69,90,12,1.76,MN,1705824643
155,sechura,-5.5569,-80.8222,297.09,78,53,4.51,PE,1705824643
156,kailua-kona,19.6406,-155.9956,297.13,91,100,3.6,US,1705824400
157,praia,14.9215,-23.5087,295.45,68,40,7.2,CV,1705824644
158,tongchuan,35.0806,109.0897,270.48,41,89,4.19,CN,1705824644
159,kijang,35.2442,129.2139,280.71,79,100,5.21,KR,1705824625
160,ribeira grande,38.5167,-28.7,291.37,94,75,8.75,PT,1705824618
161,lorengau,-2.0226,147.2712,302.14,74,61,2.68,PG,1705824645
162,buchanan,5.8808,-10.0467,299.01,86,14,0.94,LR,1705824645
163,las tablas,7.7667,-80.2833,298.87,83,37,6.91,PA,1705824646
164,morondava,-20.2833,44.2833,303.55,66,82,5.84,MG,1705824646
165,yellowknife,62.456,-114.3525,245.03,97,62,3.57,CA,1705824646
166,camayenne,9.535,-13.6878,299.43,74,100,2.18,GN,1705824647
167,keflavik,64.0049,-22.5624,273.39,93,40,1.54,IS,1705824647
168,lebu,-37.6167,-73.65,286.18,89,5,8.28,CL,1705824614
169,vernon,50.2581,-119.2691,271.35,99,100,0.19,CA,1705824648
170,rajapolah,-7.221,108.1896,302.9,60,81,1.86,ID,1705824648
171,lujan,-34.5703,-59.105,293.12,99,0,2.33,AR,1705824468
172,deltebre,40.7499,0.7868,281.73,75,50,1.93,ES,1705824649
173,zhezqazghan,47.7833,67.7667,257.47,78,0,5.0,KZ,1705824649
174,lata,40.1629,-8.3327,275.97,85,68,2.07,PT,1705824649
175,cabo san lucas,22.8909,-109.9124,295.66,81,98,4.47,MX,1705824650
176,olinda,-8.0089,-34.8553,299.0,89,40,0.0,BR,1705824650
177,qarazhal,48.0078,70.7903,264.83,81,5,2.59,KZ,1705824650
178,touros,-5.1989,-35.4608,299.32,80,8,3.38,BR,1705824640
179,navasota,30.388,-96.0877,278.17,45,100,4.2,US,1705824602
180,waddan,29.1614,16.139,287.1,78,95,6.39,LY,1705824651
181,tazovsky,67.4667,78.7,264.19,94,100,4.65,RU,1705824647
182,saint-felicien,48.6501,-72.4491,254.82,87,8,4.34,CA,1705824652
183,aldama,22.9167,-98.0667,285.09,62,100,0.95,MX,1705824652
184,port elizabeth,-33.918,25.5701,302.09,84,40,9.26,ZA,1705824653
185,kodoli,16.8833,74.2,304.15,29,2,2.9,IN,1705824653
186,tanjungtiram,4.0613,98.3699,303.56,61,30,4.19,ID,1705824654
187,nguigmi,14.2495,13.1092,295.14,19,0,5.96,NE,1705824654
188,baragua,21.6967,-78.6328,294.89,90,22,4.23,CU,1705824654
